Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,12,6,2 - 3,0 - 0,0 - 0,0 - 0,2 - 3,0 - 1,2 - 2,1,2 - 2,2 - 2,1,1,4,0,0,2,2,3
#5 Jamaal Barnes Jr.,11,9,3 - 5,0 - 0,0 - 0,0 - 0,3 - 5,0 - 1,3 - 4,1,0 - 0,0 - 0,7,2,2,0,1,2,0,0
#8 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Ralph Bellamy,11,18,6 - 9,0 - 0,0 - 0,0 - 0,6 - 9,0 - 0,6 - 9,0,1 - 1,0 - 0,1,0,4,0,0,0,0,0
#0 Terrell Howard,0,5,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,1 - 2,1 - 2,1,0 - 0,0 - 0,5,1,4,0,0,2,2,1
#12 Devonte Pratt,6,9,4 - 5,0 - 0,0 - 0,0 - 1,4 - 4,3 - 3,1 - 1,0,0 - 0,1 - 1,1,0,0,0,0,0,0,1
#24 Tyquan Scott,17,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0,0 - 0,0 - 1,6,0,2,10,0,0,2,2
#2 Raymond Taylor,2,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,1,0,0,0,0,0
