Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#22 Marcus Bradley,6,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0,0 - 0,0 - 1,1,0,1,0,2,0,0,1
#6 Bakari Copeland,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#24 Victorious Dean,15,7,2 - 8,0 - 0,0 - 0,1 - 3,1 - 5,0 - 4,1 - 1,1,0 - 0,1 - 1,4,0,3,0,3,0,0,1
#0 Tamyrik Fields,15,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,0,0 - 0,0 - 0,3,1,0,7,0,0,0,0
#1 Kaylon Tippins-Hill,11,7,3 - 10,0 - 0,0 - 0,0 - 1,3 - 9,2 - 7,1 - 2,1,0 - 0,0 - 0,6,0,3,0,0,0,0,0
#11 Richard Washington,17,2,1 - 5,0 - 0,0 - 0,0 - 2,1 - 3,1 - 2,0 - 1,3,0 - 0,0 - 0,3,0,6,0,0,0,0,0
#14 Jaetuan Williams,15,11,4 - 9,0 - 0,0 - 1,1 - 1,3 - 7,2 - 4,1 - 3,0,0 - 0,0 - 0,7,0,4,0,1,0,0,0
