Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,19,0,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,3,1,1,4,0,0,2,2
#5 Jamaal Barnes Jr.,11,17,6 - 7,0 - 0,0 - 0,1 - 2,5 - 5,2 - 2,3 - 3,1,0 - 0,0 - 0,1,0,4,0,0,0,0,0
#8 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Ralph Bellamy,14,8,3 - 5,0 - 0,0 - 0,0 - 0,3 - 5,1 - 1,2 - 4,1,0 - 0,0 - 0,2,0,4,0,0,0,0,0
#0 Terrell Howard,18,7,3 - 6,0 - 1,0 - 0,0 - 2,3 - 3,2 - 2,1 - 1,5,0 - 1,0 - 1,5,0,2,0,0,0,0,1
#12 Devonte Pratt,5,0,0 - 4,0 - 0,0 - 0,0 - 1,0 - 3,0 - 1,0 - 2,0,0 - 0,0 - 0,3,0,3,0,0,2,0,0
#24 Tyquan Scott,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#2 Raymond Taylor,8,0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0 - 1,0,0 - 0,0 - 0,5,1,3,0,1,0,0,0
