Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#9 Bryan Bell-Anderson,10,14,5 - 7,0 - 0,0 - 0,0 - 0,5 - 7,1 - 2,4 - 5,0,0 - 0,1 - 1,5,0,3,0,1,0,0,1
#15 Vincent Boumann,11,0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0 - 1,1,0 - 0,0 - 0,6,1,0,5,0,0,0,0
#20 Donavin Byrd,6,0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 2,0 - 2,0 - 0,0,0 - 0,0 - 0,1,0,1,0,2,0,0,0
#5 LaQuavius Cotton,14,12,4 - 7,0 - 0,0 - 0,0 - 0,4 - 7,0 - 1,4 - 6,2,0 - 0,0 - 0,3,0,0,0,3,0,0,0
#6 Marcus Gray,10,8,3 - 5,0 - 0,0 - 0,0 - 0,3 - 5,1 - 1,2 - 4,3,0 - 0,0 - 0,6,1,0,0,2,0,0,0
#1 Keenan Love,10,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,4,1,1,4,0,0,0,0
#3 Keith McGee,19,34,12 - 16,0 - 0,0 - 0,0 - 0,12 - 16,2 - 3,10 - 13,1,0 - 0,0 - 0,6,0,3,0,0,0,0,0
