Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#1 Tony Crosby II,21,29,10 - 13,0 - 0,1 - 1,0 - 0,9 - 12,1 - 4,8 - 8,6,2 - 2,0 - 0,4,0,2,0,5,2,0,0
#50 Brian Gentry,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Naradain James,5,2,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,1 - 1,0 - 0,0,0 - 0,0 - 0,1,0,1,0,1,0,0,0
#91 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#47 Nathan Karsjens,11,0,0 - 2,0 - 0,0 - 0,0 - 2,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,5,0,2,10,0,0,0,1
#9 Bradley Laubacher,21,23,8 - 10,0 - 0,1 - 1,0 - 0,7 - 9,1 - 3,6 - 6,1,0 - 0,0 - 0,7,1,2,0,1,0,0,0
#2 Alonzo Scott Jr.,13,11,4 - 5,0 - 0,0 - 0,0 - 0,4 - 5,1 - 2,3 - 3,2,0 - 0,0 - 1,1,0,2,0,1,0,0,1
#24 Amir Smith,13,3,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,0,0 - 1,0 - 0,4,0,1,4,0,0,0,0
