Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#0 Dionte Byrd,10,0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 2,0 - 2,0 - 0,0,0 - 0,0 - 0,4,1,0,3,0,0,0,0
#7 Darius Clark,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#3 Cameron Hollins,13,29,10 - 13,0 - 0,0 - 0,0 - 0,10 - 13,1 - 1,9 - 12,1,1 - 1,0 - 0,1,0,1,0,0,0,0,0
#77 Justin Holloway,9,9,4 - 6,2 - 3,0 - 0,0 - 0,2 - 3,1 - 1,1 - 2,3,0 - 0,0 - 0,7,0,1,0,2,0,0,0
#4 Cameron Horton,13,9,3 - 3,0 - 0,0 - 0,0 - 0,3 - 3,0 - 0,3 - 3,9,0 - 1,0 - 0,5,0,5,0,0,0,0,0
#91 Jordan Jones,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#25 Brandon Simpson,10,5,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,1 - 2,1 - 2,3,0 - 0,0 - 0,5,2,2,0,2,0,0,0
#11 Gage Smith,18,11,4 - 6,0 - 0,0 - 0,0 - 0,4 - 6,1 - 2,3 - 4,0,0 - 0,0 - 0,7,1,0,9,0,0,0,0
