Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#44 Nathaniel Harris,13,9,3 - 8,0 - 0,1 - 1,0 - 3,2 - 4,0 - 2,2 - 2,1,0 - 0,0 - 0,6,0,2,0,0,0,0,0
#14 Paxton Henry,17,3,1 - 6,0 - 1,1 - 2,0 - 2,0 - 1,0 - 0,0 - 1,7,0 - 0,0 - 0,4,0,2,0,1,0,0,0
#91 Ermias Kassa,0,0,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#23 Bryce Moragne,4,3,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,3,0 - 0,0 - 0,1,0,2,0,0,0,0,0
#88 Faysal Shafaat,17,3,1 - 2,0 - 0,0 - 0,0 - 1,1 - 1,0 - 0,1 - 1,1,0 - 0,0 - 0,11,1,1,9,0,0,2,1
#20 Joshua Shannon,12,17,6 - 9,0 - 0,0 - 0,0 - 1,6 - 8,1 - 2,5 - 6,0,1 - 1,1 - 1,2,0,0,0,1,0,0,1
#12 Jihad Shockley,16,26,9 - 12,0 - 0,0 - 0,0 - 0,9 - 12,1 - 2,8 - 10,0,0 - 0,0 - 0,4,0,1,0,1,0,0,0
