Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#7 Ryan Johnson,7,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,2,0 - 1,0 - 0,3,0,5,0,1,0,0,0
#10 Jordan Jones,9,0,0 - 3,0 - 0,0 - 0,0 - 1,0 - 2,0 - 1,0 - 1,1,0 - 0,0 - 1,5,1,2,1,2,2,2,2
#0 Steven Julian III,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#3 Trey Landers,13,6,2 - 3,0 - 0,0 - 0,1 - 1,1 - 2,1 - 2,0 - 0,0,0 - 0,0 - 1,2,1,3,0,1,0,2,2
#21 Ty McGee,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#72 Nicholas Parks,11,3,1 - 7,0 - 0,0 - 0,0 - 1,1 - 6,0 - 2,1 - 4,0,0 - 0,0 - 1,2,0,4,0,1,0,0,1
#1 Darion Slade,18,10,4 - 8,0 - 0,0 - 0,0 - 0,4 - 8,2 - 5,2 - 3,1,0 - 0,0 - 0,3,1,2,0,5,0,2,1
#32 Shawn Stith,13,4,1 - 1,0 - 0,0 - 0,1 - 1,0 - 0,0 - 0,0 - 0,0,0 - 1,0 - 0,3,1,0,4,0,0,2,1
