Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#7 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,1,0,1,0,0,0
#10 Jordan Jones,2,5,2 - 3,0 - 0,0 - 1,0 - 0,2 - 2,1 - 1,1 - 1,0,1 - 1,0 - 0,0,0,0,0,0,0,0,0
#0 Steven Julian III,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#3 Trey Landers,19,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,3,1,1,4,0,0,0,0
#21 Ty McGee,20,34,12 - 20,0 - 0,0 - 0,0 - 1,12 - 19,2 - 5,10 - 14,7,2 - 2,1 - 2,4,0,5,0,2,0,0,2
#72 Nicholas Parks,19,8,3 - 7,0 - 0,0 - 1,0 - 0,3 - 6,1 - 2,2 - 4,0,0 - 0,0 - 0,4,0,2,1,0,0,0,0
#1 Darion Slade,20,15,6 - 9,0 - 0,0 - 0,0 - 0,6 - 9,3 - 4,3 - 5,1,1 - 3,0 - 0,3,1,0,0,3,4,0,0
#32 Shawn Stith,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
