Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#7 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#10 Jordan Jones,8,5,2 - 3,0 - 0,0 - 0,0 - 0,2 - 3,1 - 1,1 - 2,0,0 - 0,0 - 0,2,0,0,0,2,0,0,0
#0 Steven Julian III,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#3 Trey Landers,14,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,9,1,1,6,0,0,0,0
#21 Ty McGee,17,31,11 - 14,1 - 2,0 - 0,0 - 0,10 - 12,1 - 2,9 - 10,4,1 - 2,1 - 1,5,1,2,0,5,0,0,1
#72 Nicholas Parks,16,13,6 - 14,0 - 0,0 - 0,0 - 0,6 - 14,5 - 8,1 - 6,0,0 - 0,0 - 0,3,1,2,2,2,0,0,0
#1 Darion Slade,20,19,8 - 16,0 - 0,0 - 0,0 - 1,8 - 15,5 - 10,3 - 5,7,2 - 2,0 - 0,5,1,5,0,2,2,0,0
#32 Shawn Stith,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
