Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#22 Marcus Bradley,19,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,1,0,0,0,0
#6 Bakari Copeland,19,0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,1,0 - 0,0 - 0,3,0,2,1,0,0,0,0
#24 Victorious Dean,0,7,2 - 6,0 - 0,0 - 0,1 - 4,1 - 2,0 - 0,1 - 2,2,0 - 0,0 - 0,2,1,1,1,0,0,0,0
#0 Tamyrik Fields,0,6,2 - 5,0 - 0,0 - 1,0 - 0,2 - 4,0 - 1,2 - 3,1,1 - 1,1 - 1,4,0,1,2,2,0,0,1
#1 Kaylon Tippins-Hill,0,31,11 - 18,0 - 0,1 - 1,0 - 0,10 - 17,2 - 5,8 - 12,2,0 - 0,1 - 1,10,1,8,0,1,0,0,1
#11 Richard Washington,19,9,3 - 11,0 - 0,0 - 2,0 - 3,3 - 6,0 - 2,3 - 4,3,0 - 0,0 - 0,4,0,3,0,0,0,0,0
#14 Jaetuan Williams,19,3,1 - 3,0 - 0,0 - 1,0 - 0,1 - 2,0 - 0,1 - 2,0,0 - 0,1 - 1,1,0,1,0,0,0,0,1
