Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,11,0,0 - 5,0 - 0,0 - 0,0 - 0,0 - 5,0 - 2,0 - 3,0,0 - 0,0 - 1,6,2,1,0,0,0,0,1
#5 Jamaal Barnes Jr.,9,6,2 - 5,0 - 0,0 - 0,0 - 1,2 - 4,0 - 2,2 - 2,2,0 - 0,0 - 0,3,1,2,0,1,0,0,0
#8 Jace Bass,3,2,1 - 3,0 - 0,0 - 1,0 - 0,1 - 2,1 - 1,0 - 1,0,0 - 0,0 - 0,0,0,1,0,1,0,0,0
#6 Ralph Bellamy,11,14,5 - 8,0 - 0,0 - 0,0 - 0,5 - 8,1 - 1,4 - 7,1,0 - 0,0 - 0,0,0,1,0,0,0,0,0
#0 Terrell Howard,16,2,1 - 6,0 - 0,0 - 1,0 - 0,1 - 5,1 - 3,0 - 2,2,0 - 0,0 - 0,0,0,4,0,1,0,0,0
#12 Devonte Pratt,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#24 Tyquan Scott,20,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,5,0,0,7,0,0,0,1
#2 Raymond Taylor,10,8,3 - 6,0 - 0,0 - 0,0 - 1,3 - 5,1 - 2,2 - 3,0,0 - 0,0 - 0,4,2,2,0,0,0,0,0
