Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#22 Marcus Bradley,2,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Bakari Copeland,8,4,1 - 3,0 - 0,0 - 0,1 - 3,0 - 0,0 - 0,0 - 0,1,0 - 0,0 - 0,3,1,0,0,1,0,0,0
#24 Victorious Dean,13,6,2 - 8,0 - 0,0 - 0,0 - 5,2 - 3,0 - 1,2 - 2,1,1 - 1,0 - 1,1,0,1,0,3,0,0,1
#0 Tamyrik Fields,18,5,2 - 8,0 - 1,0 - 0,0 - 0,2 - 7,1 - 6,1 - 1,1,1 - 1,0 - 1,9,0,2,4,1,0,0,1
#1 Kaylon Tippins-Hill,14,15,5 - 13,0 - 0,0 - 1,0 - 1,5 - 11,0 - 3,5 - 8,1,1 - 1,0 - 0,5,0,5,1,2,0,0,0
#11 Richard Washington,10,0,0 - 7,0 - 0,0 - 1,0 - 6,0 - 0,0 - 0,0 - 0,0,0 - 0,1 - 2,2,0,0,0,1,0,2,3
#14 Jaetuan Williams,18,5,2 - 8,0 - 0,0 - 0,0 - 3,2 - 5,1 - 3,1 - 2,2,0 - 0,0 - 0,6,0,1,0,1,0,0,0
