Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#22 Jordan Grant,0,9,3 - 3,0 - 0,0 - 0,0 - 0,3 - 3,0 - 0,3 - 3,0,1 - 2,0 - 0,4,0,2,0,0,0,2,1
#18 Connor Hollenbeck,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Justin Holmes,16,25,9 - 12,0 - 0,0 - 0,0 - 0,9 - 12,2 - 3,7 - 9,5,4 - 4,0 - 2,3,0,1,0,1,0,2,3
#3 KyShawn Jones,15,36,13 - 16,0 - 0,0 - 0,0 - 0,13 - 16,3 - 5,10 - 11,1,0 - 0,0 - 1,3,2,3,0,3,0,0,1
#5 Deshawn Kelly,10,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,3,0 - 0,0 - 0,3,1,0,0,0,4,0,0
#13 Adam Stanford,0,2,1 - 2,0 - 0,0 - 0,0 - 0,1 - 2,1 - 2,0 - 0,3,0 - 0,0 - 0,2,0,0,0,0,0,0,0
#19 Matthew Wilkerson,8,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,4,2,1,3,0,0,2,2
