Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,11,6,2 - 5,0 - 0,0 - 0,0 - 1,2 - 4,0 - 1,2 - 3,0,0 - 1,0 - 0,2,1,2,0,0,0,0,0
#22 Jordan Grant,5,2,1 - 2,0 - 0,0 - 0,0 - 0,1 - 2,1 - 2,0 - 0,0,0 - 0,1 - 1,1,0,1,0,0,0,2,2
#18 Connor Hollenbeck,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Justin Holmes,17,9,3 - 5,0 - 0,0 - 0,0 - 0,3 - 5,0 - 0,3 - 5,6,0 - 0,1 - 1,3,0,3,0,0,2,0,1
#3 KyShawn Jones,16,25,9 - 13,0 - 0,0 - 0,1 - 1,8 - 12,3 - 4,5 - 8,1,2 - 2,0 - 0,3,0,5,0,0,2,0,0
#5 Deshawn Kelly,7,0,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,1,0 - 0,1 - 1,2,0,0,0,1,0,0,1
#13 Adam Stanford,7,6,2 - 2,0 - 0,0 - 0,0 - 0,2 - 2,0 - 0,2 - 2,0,1 - 1,0 - 0,2,0,5,0,1,2,0,0
#19 Matthew Wilkerson,16,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,0,0 - 0,0 - 1,5,2,0,1,0,0,0,1
