Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#1 Tony Crosby II,20,17,6 - 10,0 - 0,0 - 0,0 - 1,6 - 9,1 - 4,5 - 5,2,1 - 2,0 - 0,2,0,5,0,1,2,0,0
#50 Brian Gentry,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Naradain James,12,8,3 - 7,0 - 1,0 - 0,0 - 0,3 - 6,1 - 4,2 - 2,1,0 - 0,0 - 0,1,0,3,0,0,0,0,0
#91 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#47 Nathan Karsjens,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#9 Bradley Laubacher,12,6,2 - 3,0 - 0,0 - 0,0 - 0,2 - 3,0 - 1,2 - 2,2,0 - 0,0 - 0,3,1,4,0,0,0,0,0
#2 Alonzo Scott Jr.,16,19,7 - 10,0 - 0,0 - 0,0 - 0,7 - 10,2 - 3,5 - 7,1,0 - 0,0 - 1,7,0,0,0,0,2,0,1
#24 Amir Smith,20,11,4 - 5,0 - 0,0 - 0,0 - 0,4 - 5,1 - 1,3 - 4,1,1 - 3,0 - 0,5,1,2,7,0,2,3,1
