Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,7,2,1 - 4,0 - 0,0 - 0,0 - 2,1 - 2,1 - 1,0 - 1,0,0 - 0,1 - 2,1,0,0,0,1,0,0,2
#7 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#10 Jordan Jones,1,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,1,0,2,1
#0 Steven Julian III,14,6,2 - 2,0 - 0,0 - 0,0 - 0,2 - 2,0 - 0,2 - 2,0,0 - 1,1 - 1,3,1,3,0,2,4,0,1
#3 Trey Landers,20,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,4,1,0,4,0,0,0,1
#21 Ty McGee,21,38,14 - 22,0 - 0,0 - 0,0 - 0,14 - 22,4 - 9,10 - 13,2,2 - 5,1 - 1,5,0,3,0,2,4,2,2
#72 Nicholas Parks,7,0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 2,0 - 0,0 - 2,1,0 - 0,0 - 0,0,0,1,0,0,0,0,0
#1 Darion Slade,15,9,3 - 4,0 - 0,0 - 0,0 - 0,3 - 4,0 - 0,3 - 4,1,0 - 1,0 - 0,1,0,3,0,3,0,0,0
#32 Shawn Stith,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
