Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,9,6,2 - 8,0 - 0,0 - 0,0 - 0,2 - 8,0 - 4,2 - 4,0,0 - 0,0 - 0,4,0,0,0,0,0,0,0
#5 Jamaal Barnes Jr.,10,17,6 - 12,0 - 0,0 - 0,0 - 0,6 - 12,1 - 3,5 - 9,2,0 - 0,0 - 0,1,0,3,0,1,0,0,0
#8 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Ralph Bellamy,7,8,3 - 4,0 - 0,0 - 0,0 - 0,3 - 4,1 - 2,2 - 2,1,1 - 1,0 - 0,3,1,5,0,0,0,0,0
#0 Terrell Howard,13,10,3 - 4,0 - 0,0 - 0,1 - 2,2 - 2,0 - 0,2 - 2,3,0 - 0,0 - 1,1,0,1,0,1,0,0,1
#12 Devonte Pratt,7,10,3 - 5,0 - 0,0 - 0,1 - 1,2 - 4,0 - 1,2 - 3,1,0 - 0,0 - 0,2,1,0,0,0,0,0,0
#24 Tyquan Scott,17,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1,0 - 0,0 - 0,3,0,0,8,0,0,0,0
#2 Raymond Taylor,8,5,2 - 6,1 - 1,0 - 1,0 - 0,1 - 4,0 - 1,1 - 3,2,0 - 0,1 - 1,5,2,2,0,2,0,2,2
