Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#1 Tony Crosby II,20,19,7 - 7,0 - 0,0 - 0,0 - 0,7 - 7,2 - 2,5 - 5,6,1 - 3,0 - 1,4,1,5,0,7,2,2,3
#50 Brian Gentry,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Naradain James,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,1,0,0,0
#91 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#47 Nathan Karsjens,14,4,1 - 3,0 - 0,0 - 0,1 - 3,0 - 0,0 - 0,0 - 0,1,0 - 0,0 - 0,2,1,0,4,0,0,0,0
#9 Bradley Laubacher,20,6,2 - 3,0 - 0,0 - 0,0 - 0,2 - 3,0 - 0,2 - 3,5,0 - 1,0 - 1,5,1,2,0,3,0,0,1
#2 Alonzo Scott Jr.,9,19,7 - 7,0 - 0,0 - 0,0 - 0,7 - 7,2 - 2,5 - 5,0,0 - 0,0 - 1,3,0,3,0,1,0,2,2
#24 Amir Smith,17,14,5 - 8,0 - 0,0 - 0,0 - 1,5 - 7,1 - 2,4 - 5,1,0 - 0,1 - 1,1,0,1,2,3,0,2,2
