Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#9 Bryan Bell-Anderson,10,0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 2,0 - 2,0 - 0,0,0 - 0,0 - 0,2,0,4,0,1,3,0,0
#15 Vincent Boumann,8,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0,0 - 0,0 - 0,2,0,0,3,0,0,0,0
#20 Donavin Byrd,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#5 LaQuavius Cotton,18,12,4 - 7,0 - 0,0 - 0,0 - 2,4 - 5,0 - 1,4 - 4,0,1 - 4,0 - 0,2,0,0,0,1,2,4,2
#6 Marcus Gray,16,15,6 - 11,0 - 0,0 - 0,0 - 0,6 - 11,3 - 7,3 - 4,1,1 - 2,2 - 2,3,2,2,0,1,2,0,2
#1 Keenan Love,4,6,2 - 3,0 - 0,0 - 0,0 - 0,2 - 3,0 - 0,2 - 3,0,0 - 0,0 - 0,3,1,0,4,0,2,2,1
#3 Keith McGee,15,18,6 - 10,0 - 0,0 - 0,0 - 0,6 - 10,0 - 1,6 - 9,2,0 - 0,0 - 0,4,0,2,0,0,0,0,0
