Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#44 Nathaniel Harris,7,0,0 - 3,0 - 0,0 - 0,0 - 1,0 - 2,0 - 2,0 - 0,1,0 - 0,0 - 0,0,0,1,0,1,4,0,0
#14 Paxton Henry,6,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,1,0 - 0,0 - 0,2,0,0,0,2,0,0,0
#91 Ermias Kassa,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#23 Bryce Moragne,16,26,9 - 12,0 - 0,1 - 1,0 - 0,8 - 11,1 - 2,7 - 9,2,0 - 0,1 - 1,2,0,2,0,1,2,0,1
#88 Faysal Shafaat,19,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,0,0 - 0,1 - 2,7,0,2,7,0,0,0,3
#20 Joshua Shannon,15,10,3 - 7,0 - 0,0 - 1,1 - 1,2 - 5,0 - 0,2 - 5,1,0 - 0,0 - 0,2,0,3,0,1,0,5,2
#12 Jihad Shockley,10,11,4 - 4,0 - 0,0 - 0,0 - 0,4 - 4,1 - 1,3 - 3,1,0 - 2,1 - 1,5,0,3,1,3,0,4,4
