Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#44 Nathaniel Harris,7,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1,0 - 0,0 - 0,0,0,1,0,0,0,0,0
#14 Paxton Henry,3,4,1 - 2,0 - 0,0 - 1,1 - 1,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,3,0,2,0,0,0,0,0
#91 Ermias Kassa,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#23 Bryce Moragne,14,3,1 - 4,0 - 1,0 - 0,0 - 0,1 - 3,0 - 1,1 - 2,6,1 - 2,0 - 0,4,1,1,0,2,0,0,0
#88 Faysal Shafaat,20,0,0 - 2,0 - 0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,1 - 1,6,0,1,10,0,0,0,1
#20 Joshua Shannon,19,12,4 - 11,0 - 0,0 - 1,0 - 0,4 - 10,0 - 5,4 - 5,1,0 - 0,0 - 0,7,0,4,0,3,0,0,0
#12 Jihad Shockley,19,13,5 - 11,0 - 2,0 - 0,0 - 0,5 - 9,2 - 3,3 - 6,0,0 - 1,0 - 2,7,0,6,0,2,0,0,2
