Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#22 Jordan Grant,8,4,2 - 5,0 - 0,0 - 0,0 - 0,2 - 5,2 - 3,0 - 2,1,0 - 0,0 - 0,8,0,10,0,0,2,0,0
#18 Connor Hollenbeck,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Justin Holmes,18,6,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,0 - 0,2 - 4,3,0 - 0,0 - 0,1,0,5,0,0,0,0,0
#3 KyShawn Jones,17,18,6 - 14,0 - 0,0 - 1,0 - 2,6 - 11,0 - 3,6 - 8,0,0 - 0,0 - 1,4,2,3,0,0,0,0,1
#5 Deshawn Kelly,17,5,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,1 - 1,1 - 3,2,0 - 1,0 - 0,2,1,2,0,0,0,0,0
#13 Adam Stanford,20,15,5 - 6,0 - 0,0 - 0,0 - 0,5 - 6,0 - 0,5 - 6,0,2 - 2,0 - 0,3,0,0,4,0,0,2,1
#19 Matthew Wilkerson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
