Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,12,6,2 - 6,0 - 0,0 - 1,0 - 0,2 - 5,0 - 3,2 - 2,0,1 - 1,0 - 0,4,2,4,0,1,0,0,0
#5 Jamaal Barnes Jr.,8,11,4 - 7,0 - 0,0 - 0,0 - 0,4 - 7,1 - 3,3 - 4,0,0 - 0,1 - 1,3,2,3,0,2,0,0,1
#8 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Ralph Bellamy,8,20,7 - 12,0 - 0,0 - 0,0 - 0,7 - 12,1 - 3,6 - 9,0,1 - 1,0 - 0,3,0,0,0,1,0,0,0
#0 Terrell Howard,9,10,4 - 6,0 - 1,0 - 0,0 - 1,4 - 4,2 - 2,2 - 2,5,1 - 1,0 - 1,4,2,4,0,3,0,0,1
#12 Devonte Pratt,10,0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 2,0 - 2,0 - 0,1,0 - 0,0 - 1,2,0,1,0,2,0,0,1
#24 Tyquan Scott,19,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,5,1,0,9,0,0,0,0
#2 Raymond Taylor,0,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,2,0 - 0,0 - 1,5,1,1,0,1,0,0,1
