Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#7 Ryan Johnson,8,2,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,1 - 1,0 - 0,0,0 - 0,0 - 0,4,0,2,0,0,3,0,0
#10 Jordan Jones,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Steven Julian III,14,7,3 - 5,0 - 1,0 - 0,0 - 1,3 - 3,2 - 2,1 - 1,1,0 - 0,1 - 1,9,2,3,0,1,0,0,1
#3 Trey Landers,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#21 Ty McGee,9,14,5 - 9,0 - 0,0 - 0,0 - 0,5 - 9,1 - 1,4 - 8,0,0 - 0,0 - 0,3,1,5,0,2,2,2,1
#72 Nicholas Parks,13,13,5 - 9,0 - 0,0 - 0,0 - 0,5 - 9,2 - 2,3 - 7,0,1 - 1,0 - 0,1,0,1,0,0,3,4,2
#1 Darion Slade,16,16,6 - 12,0 - 0,0 - 0,0 - 1,6 - 11,2 - 4,4 - 7,1,1 - 2,0 - 0,4,1,1,0,0,4,0,0
#32 Shawn Stith,20,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,7,1,0,7,0,0,2,1
