Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#22 Jordan Grant,7,0,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,1,0 - 0,1 - 1,3,0,3,0,1,0,2,2
#18 Connor Hollenbeck,18,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,1,0 - 0,0 - 0,6,2,0,9,0,0,0,0
#0 Justin Holmes,16,12,4 - 7,0 - 0,0 - 0,0 - 0,4 - 7,0 - 1,4 - 6,0,2 - 2,1 - 1,2,1,8,0,0,0,3,2
#3 KyShawn Jones,15,7,2 - 8,0 - 1,0 - 0,1 - 3,1 - 4,0 - 0,1 - 4,1,0 - 0,0 - 0,0,0,4,0,4,0,8,4
#5 Deshawn Kelly,4,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,2,1,1,0,0,0,3,2
#13 Adam Stanford,13,9,3 - 5,0 - 0,0 - 1,0 - 1,3 - 3,0 - 0,3 - 3,0,0 - 0,1 - 1,3,0,2,0,0,2,5,3
#19 Matthew Wilkerson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
