Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,10,10,3 - 6,0 - 1,0 - 1,2 - 3,1 - 1,1 - 1,0 - 0,0,0 - 0,0 - 1,5,0,1,0,1,0,4,3
#7 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#10 Jordan Jones,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Steven Julian III,10,5,2 - 2,1 - 1,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,1,0 - 0,0 - 0,4,0,0,0,0,0,0,0
#3 Trey Landers,19,4,1 - 2,0 - 0,0 - 0,1 - 2,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,2,0,0,6,0,0,0,1
#21 Ty McGee,17,31,11 - 19,0 - 0,0 - 0,0 - 1,11 - 18,2 - 7,9 - 11,5,1 - 2,0 - 0,6,0,4,0,2,2,0,0
#72 Nicholas Parks,5,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,1,0,2,0,0,0,0,0
#1 Darion Slade,17,10,4 - 10,0 - 0,0 - 0,0 - 0,4 - 10,2 - 5,2 - 5,0,0 - 1,0 - 0,6,0,3,0,1,0,0,0
#32 Shawn Stith,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
