Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#1 Tony Crosby II,0,14,5 - 8,0 - 0,0 - 0,0 - 0,5 - 8,1 - 1,4 - 7,3,0 - 0,0 - 0,3,2,5,0,5,2,0,0
#50 Brian Gentry,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Naradain James,19,6,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,0 - 2,2 - 2,2,0 - 0,0 - 1,1,0,1,0,2,0,0,1
#91 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#47 Nathan Karsjens,0,8,2 - 4,0 - 0,0 - 0,2 - 4,0 - 0,0 - 0,0 - 0,1,0 - 1,0 - 0,2,0,0,12,0,0,0,0
#9 Bradley Laubacher,0,7,3 - 6,0 - 0,0 - 0,0 - 0,3 - 6,2 - 5,1 - 1,2,0 - 0,0 - 0,7,1,0,0,4,0,0,0
#2 Alonzo Scott Jr.,7,9,3 - 4,0 - 1,0 - 0,0 - 0,3 - 3,0 - 0,3 - 3,0,0 - 0,0 - 0,3,0,2,0,0,0,0,0
#24 Amir Smith,14,14,5 - 7,0 - 0,0 - 0,0 - 0,5 - 7,1 - 3,4 - 4,0,1 - 1,0 - 0,5,0,5,3,2,0,0,0
