Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,10,5,2 - 6,0 - 0,0 - 0,0 - 1,2 - 5,1 - 2,1 - 3,1,0 - 0,0 - 0,4,2,1,0,0,0,0,0
#5 Jamaal Barnes Jr.,10,20,7 - 10,0 - 0,0 - 0,0 - 1,7 - 9,1 - 1,6 - 8,0,0 - 0,0 - 1,5,2,4,0,2,0,0,1
#8 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Ralph Bellamy,13,11,4 - 10,0 - 0,0 - 0,0 - 0,4 - 10,1 - 5,3 - 5,1,0 - 0,0 - 0,4,2,0,0,1,0,0,0
#0 Terrell Howard,13,7,3 - 6,0 - 0,0 - 0,0 - 0,3 - 6,2 - 5,1 - 1,3,0 - 1,0 - 1,4,0,4,0,0,0,0,1
#12 Devonte Pratt,8,4,2 - 4,0 - 0,0 - 0,0 - 1,2 - 3,2 - 3,0 - 0,1,0 - 1,0 - 0,4,0,2,0,0,0,0,0
#24 Tyquan Scott,20,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,9,0,0,10,0,0,0,0
#2 Raymond Taylor,8,3,1 - 4,0 - 0,0 - 0,0 - 0,1 - 4,0 - 2,1 - 2,0,0 - 0,0 - 0,2,1,0,0,0,0,0,0
