Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#22 Jordan Grant,4,3,1 - 3,0 - 0,0 - 0,0 - 0,1 - 3,0 - 1,1 - 2,1,0 - 0,0 - 0,2,1,1,0,0,0,0,0
#18 Connor Hollenbeck,19,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,0,0 - 0,0 - 0,5,2,0,6,0,0,0,0
#0 Justin Holmes,19,11,4 - 7,0 - 0,0 - 0,0 - 0,4 - 7,1 - 3,3 - 4,1,2 - 2,0 - 1,4,0,5,0,3,2,0,1
#3 KyShawn Jones,19,20,7 - 14,0 - 0,0 - 0,1 - 4,6 - 10,2 - 4,4 - 6,0,1 - 1,0 - 1,3,1,4,0,3,0,2,2
#5 Deshawn Kelly,0,0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0 - 1,0,0 - 0,0 - 0,3,0,0,0,1,0,0,0
#13 Adam Stanford,4,9,3 - 9,0 - 0,1 - 2,0 - 1,2 - 6,0 - 0,2 - 6,1,1 - 1,0 - 0,5,0,3,0,0,2,0,0
#19 Matthew Wilkerson,1,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
