Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#22 Jordan Grant,4,0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0,0 - 0,0 - 0,1,0,1,0,0,0,0,0
#18 Connor Hollenbeck,15,3,1 - 7,0 - 0,0 - 0,0 - 1,1 - 6,0 - 5,1 - 1,0,0 - 0,0 - 0,3,0,2,3,0,0,4,3
#0 Justin Holmes,16,19,7 - 8,0 - 0,0 - 0,0 - 0,7 - 8,2 - 2,5 - 6,2,1 - 1,0 - 0,4,0,4,0,0,0,0,0
#3 KyShawn Jones,14,24,8 - 13,0 - 0,0 - 0,1 - 3,7 - 10,1 - 2,6 - 8,0,2 - 2,0 - 2,2,0,2,0,1,0,2,3
#5 Deshawn Kelly,4,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1,0 - 0,0 - 0,2,0,0,0,0,0,0,0
#13 Adam Stanford,8,2,1 - 5,0 - 0,0 - 0,0 - 0,1 - 5,1 - 3,0 - 2,0,0 - 0,1 - 1,2,0,2,0,1,0,0,0
#19 Matthew Wilkerson,13,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 1,4,1,0,7,0,0,4,3
