Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#1 Tony Crosby II,19,13,5 - 11,0 - 1,0 - 0,0 - 0,5 - 10,2 - 6,3 - 4,3,0 - 0,1 - 3,5,1,6,0,4,0,2,4
#50 Brian Gentry,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Naradain James,13,3,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,3,0 - 0,0 - 0,1,0,4,0,0,0,0,0
#91 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#47 Nathan Karsjens,10,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,1,0,0,3,0,0,0,0
#9 Bradley Laubacher,12,10,4 - 6,0 - 0,0 - 0,0 - 0,4 - 6,2 - 4,2 - 2,1,1 - 1,0 - 0,4,0,0,0,0,0,0,1
#2 Alonzo Scott Jr.,8,13,5 - 5,0 - 0,0 - 0,0 - 0,5 - 5,2 - 2,3 - 3,0,0 - 0,0 - 0,2,1,1,0,0,0,0,0
#24 Amir Smith,16,5,2 - 5,0 - 0,0 - 0,0 - 0,2 - 5,1 - 3,1 - 2,0,0 - 0,0 - 1,4,0,7,8,1,0,0,1
