Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#84 Malik Abdul-Haqq,15,5,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,1 - 1,1 - 3,0,0 - 1,0 - 0,2,1,1,0,3,0,2,1
#5 Jamaal Barnes Jr.,15,10,4 - 8,0 - 0,0 - 0,0 - 0,4 - 8,2 - 3,2 - 5,1,0 - 0,1 - 3,3,0,2,0,0,0,0,3
#8 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#6 Ralph Bellamy,4,6,2 - 4,0 - 0,0 - 0,0 - 0,2 - 4,0 - 0,2 - 4,0,0 - 0,0 - 0,1,1,1,0,0,0,0,0
#0 Terrell Howard,5,6,2 - 5,0 - 0,0 - 0,0 - 1,2 - 4,0 - 1,2 - 3,1,0 - 0,0 - 0,0,0,5,0,1,0,0,0
#12 Devonte Pratt,13,6,2 - 4,0 - 0,0 - 0,0 - 1,2 - 3,0 - 0,2 - 3,1,1 - 1,0 - 0,1,0,1,0,0,0,0,0
#24 Tyquan Scott,18,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,5,1,1,4,0,0,2,1
#2 Raymond Taylor,4,2,1 - 4,0 - 0,0 - 0,0 - 0,1 - 4,1 - 3,0 - 1,1,0 - 0,0 - 0,3,1,2,0,0,2,2,1
