Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#22 Marcus Bradley,8,0,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,2,0,0,1,0,0,0,1
#6 Bakari Copeland,17,12,5 - 10,0 - 0,0 - 0,1 - 4,4 - 6,4 - 6,0 - 0,0,0 - 1,0 - 1,1,1,2,1,0,0,2,2
#24 Victorious Dean,6,2,1 - 2,0 - 0,0 - 1,0 - 0,1 - 1,1 - 1,0 - 0,0,0 - 1,0 - 0,2,0,0,0,1,0,2,1
#0 Tamyrik Fields,13,3,1 - 7,0 - 0,0 - 2,0 - 1,1 - 4,0 - 2,1 - 2,1,0 - 0,0 - 0,5,0,2,5,1,0,8,3
#1 Kaylon Tippins-Hill,11,8,3 - 6,0 - 0,0 - 0,0 - 1,3 - 5,1 - 2,2 - 3,1,0 - 0,0 - 0,8,3,0,0,0,2,0,0
#11 Richard Washington,9,9,3 - 11,0 - 0,1 - 3,0 - 5,2 - 3,0 - 1,2 - 2,0,0 - 0,0 - 0,5,0,0,1,0,0,0,0
#14 Jaetuan Williams,16,0,0 - 7,0 - 0,0 - 2,0 - 4,0 - 1,0 - 0,0 - 1,1,0 - 0,0 - 0,6,0,3,0,0,0,2,2
