Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#91 Jace Bass,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#22 Jordan Grant,13,0,0 - 3,0 - 0,0 - 0,0 - 1,0 - 2,0 - 0,0 - 2,1,0 - 0,0 - 2,3,0,2,0,4,2,2,3
#18 Connor Hollenbeck,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Justin Holmes,13,3,1 - 2,0 - 0,0 - 0,0 - 0,1 - 2,0 - 0,1 - 2,3,0 - 0,0 - 0,3,0,4,0,0,0,0,0
#3 KyShawn Jones,14,12,4 - 17,0 - 0,0 - 1,1 - 1,3 - 15,1 - 8,2 - 7,1,0 - 0,0 - 0,2,0,3,0,2,0,0,0
#5 Deshawn Kelly,8,3,1 - 2,0 - 0,0 - 0,0 - 1,1 - 1,0 - 0,1 - 1,1,0 - 0,0 - 1,5,1,3,0,0,0,0,1
#13 Adam Stanford,11,12,4 - 9,0 - 0,0 - 2,0 - 0,4 - 7,0 - 1,4 - 6,1,2 - 2,0 - 0,2,0,6,0,0,0,0,0
#19 Matthew Wilkerson,19,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,4,0,0,2,0,0,4,2
