Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#0 Dionte Byrd,3,2,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,1 - 1,0 - 0,0,0 - 1,1 - 1,0,0,0,0,0,0,0,1
#7 Darius Clark,12,15,5 - 13,0 - 0,0 - 0,0 - 0,5 - 13,0 - 3,5 - 10,0,1 - 1,0 - 0,5,0,3,0,0,2,0,0
#3 Cameron Hollins,11,8,3 - 6,0 - 0,0 - 0,0 - 0,3 - 6,1 - 4,2 - 2,0,0 - 1,0 - 0,3,0,1,1,1,2,0,0
#77 Justin Holloway,10,2,1 - 2,1 - 1,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,2,0 - 0,0 - 1,0,0,2,0,2,0,0,1
#4 Cameron Horton,13,9,4 - 6,1 - 2,0 - 0,0 - 1,3 - 3,2 - 2,1 - 1,2,1 - 1,0 - 0,7,0,1,0,0,2,0,0
#91 Jordan Jones,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#25 Brandon Simpson,14,5,2 - 6,0 - 0,0 - 0,0 - 0,2 - 6,1 - 2,1 - 4,3,0 - 0,0 - 0,4,0,4,0,1,0,0,0
#11 Gage Smith,20,3,1 - 5,0 - 0,0 - 0,0 - 0,1 - 5,0 - 4,1 - 1,1,0 - 0,0 - 0,12,3,3,12,0,0,0,0
