Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#92 Greg Helt,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#7 Ryan Johnson,3,2,1 - 4,0 - 1,0 - 0,0 - 0,1 - 3,1 - 3,0 - 0,1,0 - 0,0 - 0,2,0,2,0,1,0,0,0
#10 Jordan Jones,6,0,0 - 4,0 - 0,0 - 0,0 - 2,0 - 2,0 - 1,0 - 1,1,0 - 0,0 - 1,1,0,1,0,0,0,0,1
#0 Steven Julian III,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,1,0,0,0,0,0,0,0
#3 Trey Landers,14,4,2 - 6,0 - 0,0 - 0,0 - 3,2 - 3,2 - 3,0 - 0,0,0 - 0,0 - 0,1,0,2,0,0,0,2,1
#21 Ty McGee,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#72 Nicholas Parks,18,18,7 - 11,0 - 0,0 - 0,0 - 0,7 - 11,3 - 3,4 - 8,1,1 - 3,0 - 0,9,0,4,0,0,0,0,0
#1 Darion Slade,17,7,2 - 10,0 - 0,0 - 0,1 - 2,1 - 8,0 - 6,1 - 2,2,0 - 0,0 - 0,5,0,3,0,1,0,0,0
#32 Shawn Stith,19,3,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,1,0 - 0,2 - 3,7,4,0,6,0,0,0,3
