Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#9 Bryan Bell-Anderson,7,0,0 - 3,0 - 0,0 - 0,0 - 0,0 - 3,0 - 1,0 - 2,0,0 - 2,0 - 0,1,1,2,0,0,0,0,0
#15 Vincent Boumann,8,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,2,1,0,0,0,0,2,1
#20 Donavin Byrd,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#5 LaQuavius Cotton,15,5,2 - 7,0 - 0,0 - 0,0 - 0,2 - 7,1 - 5,1 - 2,3,0 - 0,0 - 0,4,1,7,0,0,2,0,0
#6 Marcus Gray,0,7,3 - 6,0 - 0,0 - 0,0 - 0,3 - 6,2 - 4,1 - 2,3,0 - 1,0 - 0,3,0,2,0,0,2,2,1
#1 Keenan Love,10,3,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,0,1 - 1,0 - 1,1,0,1,3,0,0,2,2
#3 Keith McGee,13,13,5 - 7,0 - 0,0 - 0,0 - 0,5 - 7,2 - 2,3 - 5,1,0 - 0,0 - 2,3,1,5,0,0,2,0,2
