Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#1 Tony Crosby II,19,26,10 - 16,0 - 0,0 - 0,0 - 0,10 - 16,4 - 8,6 - 8,3,0 - 3,0 - 0,6,0,4,0,0,0,0,0
#50 Brian Gentry,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#0 Naradain James,19,9,3 - 5,0 - 0,0 - 0,0 - 0,3 - 5,0 - 0,3 - 5,2,0 - 0,0 - 0,2,0,2,0,0,0,0,0
#91 Ryan Johnson,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#47 Nathan Karsjens,0,0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0,0 - 0,0 - 0,0,0,0,0,0,0,0,0
#9 Bradley Laubacher,19,11,4 - 4,0 - 0,0 - 0,0 - 0,4 - 4,1 - 1,3 - 3,1,0 - 0,0 - 0,4,0,2,0,0,0,0,0
#2 Alonzo Scott Jr.,19,12,4 - 4,0 - 0,0 - 0,0 - 0,4 - 4,0 - 0,4 - 4,0,0 - 0,0 - 1,2,0,4,0,1,0,0,1
#24 Amir Smith,0,6,2 - 4,0 - 0,0 - 0,0 - 1,2 - 3,0 - 1,2 - 2,0,0 - 0,0 - 0,4,0,1,9,0,0,0,0
