Player,Min,PTS,FG,2PT,3PT,4PT,RA,Layup,Slam,Ast,OFO,DFO,LBR,Stl,TO,STPS,Hits,PPA,PP,VIO
#44 Nathaniel Harris,0,3,1 - 5,0 - 0,0 - 2,0 - 1,1 - 2,0 - 0,1 - 2,2,0 - 0,0 - 0,2,0,1,0,3,0,0,0
#14 Paxton Henry,9,3,1 - 3,0 - 0,0 - 0,0 - 1,1 - 2,0 - 1,1 - 1,0,0 - 0,0 - 2,6,0,1,0,1,0,0,2
#91 Ermias Kassa,5,0,0 - 4,0 - 0,0 - 0,0 - 2,0 - 2,0 - 0,0 - 2,0,0 - 0,0 - 0,2,1,1,0,0,0,0,0
#23 Bryce Moragne,12,21,7 - 9,0 - 1,0 - 0,0 - 0,7 - 8,0 - 0,7 - 8,6,2 - 2,0 - 0,4,0,1,0,2,0,0,0
#88 Faysal Shafaat,18,3,1 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 1,0,1 - 1,0 - 0,8,2,0,6,0,0,2,1
#20 Joshua Shannon,14,14,5 - 7,0 - 0,0 - 0,0 - 0,5 - 7,1 - 2,4 - 5,0,0 - 0,0 - 0,6,1,3,2,1,0,2,1
#12 Jihad Shockley,13,20,7 - 10,0 - 1,0 - 0,0 - 0,7 - 9,1 - 3,6 - 6,0,0 - 0,0 - 1,4,0,1,0,0,0,0,1
