,Player,Min,PTS,LBR,Stl,TO,STPS,PPA,PP,VIO,GTID,WIN,DFO_mk,DFO_att,DFO_pct,OFO_mk,OFO_att,OFO_pct,FG_mk,FG_att,FG_pct,2PT_mk,2PT_att,2PT_pct,3PT_mk,3PT_att,3PT_pct,4PT_mk,4PT_att,4PT_pct,RA_mk,RA_att,RA_pct,Layup_mk,Layup_att,Layup_pct,Slam_mk,Slam_att,Slam_pct,Team,Pos,AST,HITS,PPFG
32,#7 Darius Clark,11.428571428571427,5.7003088206591,-0.27059297165354296,0,-2.155390157908002,-0.11041808641524796,2,0,1,86,1,0,1,0.0,1,1,1.0,5,11,0.45454545454545453,0,0,0.0,0,0,0.0,0,0,0.0,5,11,0.45454545454545453,1,5,0.2,4,6,0.6666666666666666,Mob,G,-0.9839259857438168,-0.04794131308233996,-0.13656781970136372
33,#7 Darius Clark,19.0,30.201763414345756,-0.4373608153740157,1,-0.5833361375220543,-0.18357006866534975,0,2,1,88,1,0,0,0.0,1,1,1.0,16,23,0.6956521739130435,0,0,0.0,0,0,0.0,0,1,0.0,16,22,0.7272727272727273,4,7,0.5714285714285714,12,15,0.8,Mob,G,-0.6357769512990958,1.2577975670006094,11.938963904884824
34,#7 Darius Clark,23.873015873015873,4.662867314265676,-1.8319053185651792,0,0.4976294479255059,-0.23065111384518466,0,0,0,103,1,0,0,0.0,1,1,1.0,8,10,0.8,0,1,0.0,0,0,0.0,0,0,0.0,8,9,0.8888888888888888,2,2,1.0,6,7,0.8571428571428571,Mob,G,-2.0553120591093066,-2.1890329651053326,21.851521535642583
35,#7 Darius Clark,17.18811881188119,10.517593166912052,0.08115769906759214,0,-3.241621435507184,-0.16606442897501159,0,0,0,104,1,0,0,0.0,1,1,1.0,8,13,0.6153846153846154,0,0,0.0,0,0,0.0,0,0,0.0,8,13,0.6153846153846154,1,4,0.25,7,9,0.7777777777777778,Mob,G,-1.4797857151929288,-1.576062232249579,8.328568496212206
36,#3 Cameron Hollins,8.0,0.19021617446137018,3.71058491984252,0,0.4912268894643983,-0.07729266049067358,0,0,0,0,1,0,0,0.0,0,0,0.0,2,3,0.6666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,2,3,0.6666666666666666,0,1,0.0,2,2,1.0,Mob,G,0.3112518099793281,-0.733558919157638,5.722584344390864
37,#3 Cameron Hollins,8.0,0.19021617446137018,-0.2894150801574802,0,-0.5087731105356017,-0.07729266049067358,0,0,2,5,1,1,2,0.5,0,0,0.0,2,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,2,5,0.4,0,2,0.0,2,3,0.6666666666666666,Mob,G,-0.6887481900206719,0.26644108084236195,-0.6774156556091366
38,#3 Cameron Hollins,9.473684210526315,2.119992838177939,-2.711149437028595,0,-0.7867049993184755,-0.09153078216000818,2,2,2,21,1,1,1,1.0,1,1,1.0,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,1.0,0,0,0.0,3,3,1.0,Mob,G,-0.8156228566034271,2.131311806260692,16.250428828883916
39,#3 Cameron Hollins,10.602409638554217,0.3002864962741048,-0.03416456406413033,0,-0.9995788211917613,0.8975639439280229,2,0,0,23,1,0,0,0.0,0,1,0.0,3,6,0.5,0,0,0.0,0,0,0.0,0,0,0.0,3,6,0.5,1,4,0.25,2,2,1.0,Mob,G,-0.9127988060514929,0.02781348063445557,0.515874833931666
40,#3 Cameron Hollins,13.186813186813186,-1.5765667453933454,-0.7737611211387034,0,-0.4869886437400027,0.8725945156747138,0,2,1,26,1,0,0,0.0,0,0,0.0,3,7,0.42857142857142855,0,0,0.0,0,0,0.0,0,0,0.0,3,7,0.42857142857142855,1,3,0.3333333333333333,2,4,0.5,Mob,G,-1.1352992143197889,-0.20916305355654619,-1.8701513946461437
41,#3 Cameron Hollins,16.19047619047619,6.242104162600392,-2.6333400431758527,0,-2.05346939036967,0.8435743775783987,0,4,2,28,1,0,0,0.0,0,0,0.0,6,10,0.6,0,0,0.0,0,0,0.0,0,0,0.0,6,10,0.6,0,0,0.0,6,10,0.6,Mob,G,-1.3938951464704072,0.5154164731333516,8.343325458886271
42,#3 Cameron Hollins,15.584415584415584,14.682239300898775,-1.459899506800286,0,-1.9391683971472762,-0.1505701178389745,0,2,3,43,1,2,2,1.0,1,1,1.0,9,10,0.9,0,0,0.0,0,0,0.0,0,0,0.0,9,10,0.9,1,1,1.0,8,9,0.8888888888888888,Mob,G,-0.34171725328702324,-1.4290108814759181,20.498540930631552
